robot_name,biscuit
time_ms,left,center,right
371,0,0,100
383,0,0,100
394,0,0,100
405,0,0,100
418,0,0,100
429,0,0,100
440,0,0,100
452,0,0,100
464,0,0,94
477,0,0,94
489,0,0,94
500,0,0,94
512,0,0,94
525,0,0,94
535,0,0,94
548,0,0,94
561,16,30,120
572,16,30,120
584,16,30,120
594,16,30,120
606,16,30,120
619,16,30,120
631,16,30,120
642,42,52,138
654,42,52,138
666,42,52,138
678,42,52,138
690,42,52,138
701,42,52,138
712,42,52,138
725,42,52,138
735,26,42,138
745,26,42,138
758,26,42,138
770,26,42,138
782,26,42,138
792,26,42,138
804,26,42,138
815,26,42,138
826,34,51,149
837,34,51,149
850,34,51,149
861,34,51,149
873,34,51,149
885,34,51,149
896,34,51,149
908,34,51,149
921,36,120,262
933,36,120,262
944,36,120,262
957,36,120,262
970,36,120,262
981,36,120,262
991,36,120,262
1004,36,120,262
1014,36,120,262
1025,36,120,262
1036,676,741,752
1047,676,741,752
1057,676,741,752
1070,676,741,752
1082,676,741,752
1093,676,741,752
1106,676,741,752
1119,676,741,752
1129,714,746,775
1142,714,746,775
1154,714,746,775
1166,714,746,775
1178,714,746,775
1188,714,746,775
1200,714,746,775
1211,42,64,149
1223,42,64,149
1233,42,64,149
1246,42,64,149
1256,42,64,149
1270,42,64,149
1282,42,64,149
1292,42,64,149
1303,0,0,47
1315,0,0,47
1325,0,0,47
1337,0,0,47
1350,0,0,47
1361,0,0,47
1374,0,0,47
1386,0,0,47
1398,0,0,0
1409,0,0,0
1420,0,0,0
1431,0,0,0
1443,0,0,0
1454,0,0,0
1464,0,0,0
1477,0,0,0
1492,0,0,0
1503,0,0,0
1516,0,0,0
1527,0,0,0
1540,0,0,0
1550,0,0,0
1562,0,0,0
1575,0,0,0
1586,0,0,0
1599,0,0,0
1610,0,0,0
1620,0,0,0
1631,0,0,0
1642,0,0,0
1653,0,0,0
1663,0,0,0
1674,0,0,0
1684,0,0,0
1697,0,0,0
1707,0,0,0
1718,0,0,0
1729,0,0,0
1741,0,0,0
1752,0,0,0
1762,0,0,0
1773,0,0,0
1783,0,0,0
1795,0,0,0
1807,0,0,0
1817,0,0,0
1829,0,0,0
1841,0,0,0
1853,0,0,0
1865,0,0,0
1875,624,676,717
1886,624,676,717
1898,624,676,717
1909,624,676,717
1919,624,676,717
1932,624,676,717
1944,624,676,717
1955,624,676,717
1966,0,0,60
1977,0,0,60
1988,0,0,60
1998,0,0,60
2009,0,0,60
2021,0,0,60
2033,0,0,60
2046,0,0,60
2056,0,0,0
2068,0,0,0
2079,0,0,0
2090,0,0,0
2103,0,0,0
2114,0,0,0
2127,0,0,0
2138,0,0,0
2148,0,0,0
2161,0,0,0
2173,0,0,10
2184,0,0,10
2195,0,0,10
2207,0,0,10
2220,0,0,10
2233,0,0,10
2244,0,0,10
2258,0,0,10
2268,0,0,52
2279,0,0,52
2292,0,0,52
2304,0,0,52
2316,0,0,52
2327,0,0,52
2339,0,0,52
2351,0,0,52
2362,0,0,52
2375,0,0,52
2386,0,0,14
2396,0,0,14
2409,0,0,14
2420,0,0,14
2433,0,0,14
2444,0,0,60
2454,0,0,60
2465,0,0,60
2475,0,0,60
2486,0,0,60
2497,0,0,60
2508,0,0,60
2519,0,0,60
2529,600,632,657
2542,600,632,657
2554,600,632,657
2567,600,632,657
2577,600,632,657
2590,600,632,657
2602,600,632,657
2614,600,632,657
2625,0,0,32
2636,0,0,32
2647,0,0,32
2659,0,0,32
2672,0,0,32
2684,0,0,32
2694,0,0,32
2707,0,0,32
2719,0,0,32
2730,0,0,32
2740,0,0,58
2752,0,0,58
2763,0,0,58
2774,0,0,58
2786,0,0,58
2799,0,0,58
2810,0,0,58
2822,0,0,58
2833,0,20,127
2844,0,20,127
2858,0,20,127
2869,0,20,127
2881,0,20,127
2891,0,20,127
2904,0,20,127
2916,0,20,127
2928,0,20,127
2939,0,20,127
2951,0,20,127
2962,0,0,114
2972,0,0,114
2984,0,0,114
2996,0,0,114
3008,0,0,114
3019,0,0,72
3032,0,0,72
3043,0,0,72
3055,0,0,72
3068,0,0,72
3079,0,0,72
3089,0,0,72
3099,0,0,72
3111,0,0,47
3124,0,0,47
3136,0,0,47
3148,0,0,47
3158,0,0,47
3169,0,0,47
3179,0,0,47
3190,0,0,21
3201,0,0,21
3212,0,0,21
3224,0,0,21
3235,0,0,21
3245,0,0,21
3257,0,0,21
3267,0,0,21
3277,0,0,21
3289,0,0,21
3300,0,0,21
3311,0,0,52
3321,0,0,52
3334,0,0,52
3346,0,0,52
3359,0,0,52
3371,0,0,52
3383,0,0,52
3393,0,0,52
3404,0,0,89
3415,0,0,89
3428,0,0,89
3438,0,0,89
3449,0,0,89
3462,0,0,89
3473,0,0,89
3485,0,0,89
3497,0,0,112
3508,0,0,112
3520,0,0,112
3531,0,0,112
3542,0,0,112
3554,0,0,112
3564,0,0,112
3575,0,0,112
3588,0,15,131
3599,0,15,131
3611,0,15,131
3623,0,15,131
3634,0,15,131
3646,0,15,131
3658,0,15,131
3670,14,59,163
3682,14,59,163
3694,14,59,163
3705,14,59,163
3717,14,59,163
3729,14,59,163
3741,14,59,163
3754,14,59,163
3764,14,59,163
3777,14,59,163
3789,14,59,163
3801,14,59,163
3814,14,59,163
3826,14,59,163
3838,14,59,163
3851,14,59,163
3861,14,59,163
3874,14,59,163
3884,124,153,242
3898,124,153,242
3909,124,153,242
3921,124,153,242
3932,124,153,242
3945,124,153,242
3955,124,153,242
3966,124,153,242
3977,124,153,242
3990,124,153,242
4001,124,153,242
4014,124,153,242
4024,124,153,242
4034,24,56,167
4046,24,56,167
4059,24,56,167
4069,24,56,167
4082,24,56,167
4094,26,59,167
4104,26,59,167
4117,26,59,167
4128,26,59,167
4139,26,59,167
4151,26,59,167
4162,26,59,167
4172,26,59,167
4184,26,57,173
4196,26,57,173
4206,26,57,173
4219,26,57,173
4230,26,57,173
4242,26,57,173
4252,26,57,173
4263,26,57,173
4274,28,61,174
4285,28,61,174
4296,28,61,174
4309,28,61,174
4321,28,61,174
4333,28,61,174
4344,28,61,174
4355,28,61,174
4366,24,59,171
4378,24,59,171
4389,24,59,171
4400,24,59,171
4412,24,59,171
4423,24,59,171
4434,24,59,171
4447,24,59,171
4459,28,59,173
4470,28,59,173
4481,28,59,173
4492,28,59,173
4505,28,59,173
4517,28,59,173
4529,28,59,173
4542,28,59,173
4553,28,59,173
4564,28,59,173
4576,26,57,171
4586,26,57,171
4596,26,57,171
4608,26,57,171
4618,26,57,171
4629,26,57,171
4642,26,57,171
4653,26,57,171
4665,34,64,178
4675,34,64,178
4687,34,64,178
4698,34,64,178
4710,34,64,178
4721,34,64,178
4732,34,64,178
4745,34,64,178
4755,38,64,178
4767,38,64,178
4780,38,64,178
4791,38,64,178
4803,38,64,178
4816,38,64,178
4827,38,64,178
4838,38,64,178
4850,34,64,173
4862,34,64,173
4873,34,64,173
4885,34,64,173
4896,34,64,173
4908,34,64,173
4919,34,64,173
4929,38,68,176
4942,38,68,176
4953,38,68,176
4966,38,68,176
4979,38,68,176
4990,38,68,176